Desc	Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
n/a	OG0005761	0	2	2	1	0	2	2	2	2
n/a	OG0005762	0	3	0	0	1	1	2	2	1
n/a	OG0005763	0	1	1	1	0	0	4	2	0
n/a	OG0005764	0	1	1	3	0	1	2	4	1
n/a	OG0005765	0	0	0	20	0	0	0	0	0
n/a	OG0005767	0	0	3	0	4	1	1	4	1
n/a	OG0005768	0	0	1	3	0	1	3	2	3
n/a	OG0005769	0	0	1	0	1	4	0	0	15
n/a	OG0005770	0	0	0	0	6	7	0	0	8
n/a	OG0005771	0	0	0	0	0	0	4	4	1
n/a	OG0005773	2	1	4	0	0	2	1	2	0
n/a	OG0005774	1	1	2	1	2	2	1	1	3
n/a	OG0005775	2	1	1	2	2	2	2	1	2
n/a	OG0005776	1	1	1	1	1	1	2	2	2
n/a	OG0005777	1	2	2	1	1	2	2	1	1
n/a	OG0005778	3	1	1	2	1	1	1	2	2
n/a	OG0005779	7	1	1	1	0	1	1	1	2
n/a	OG0005780	1	1	1	0	0	1	2	2	6
n/a	OG0005781	1	0	0	0	0	2	0	0	16
n/a	OG0005782	1	3	1	0	0	2	1	2	0
n/a	OG0005783	1	0	2	3	0	0	2	3	0
n/a	OG0005784	1	1	1	2	1	1	2	2	1
n/a	OG0005785	2	1	1	1	5	2	1	1	1
n/a	OG0005786	1	2	1	1	0	1	1	1	6
n/a	OG0005787	3	2	1	1	1	1	1	1	2
n/a	OG0005788	1	1	2	1	0	2	2	2	2
n/a	OG0005789	1	1	1	2	1	1	2	2	1
n/a	OG0005790	1	1	6	0	0	1	2	1	0
n/a	OG0005791	1	2	3	1	0	1	2	1	0
n/a	OG0005792	1	2	2	1	2	2	1	1	2
n/a	OG0005793	6	1	1	1	1	2	1	1	1
n/a	OG0005794	1	1	2	2	2	2	1	0	3
n/a	OG0005795	2	1	2	1	1	3	1	1	3
n/a	OG0005796	1	1	2	1	2	2	1	1	5
n/a	OG0005797	2	2	1	1	1	5	1	0	1
n/a	OG0005798	3	2	2	1	2	2	1	0	3
n/a	OG0005799	1	2	2	2	1	1	2	0	1
n/a	OG0005800	1	2	2	1	2	1	1	1	2
n/a	OG0005801	1	1	1	2	1	1	2	2	2
n/a	OG0005802	1	1	1	2	3	2	1	1	2
n/a	OG0005803	2	1	2	1	1	2	1	0	5
n/a	OG0005804	1	2	1	2	1	1	2	1	1
n/a	OG0005805	2	2	1	1	1	2	1	1	3
n/a	OG0005806	1	1	1	2	1	1	2	2	1
n/a	OG0005807	2	1	1	1	2	2	2	2	1
n/a	OG0005808	3	1	1	1	1	3	1	1	2
n/a	OG0005809	2	1	1	1	1	1	2	1	4
n/a	OG0005810	7	1	1	1	1	1	1	1	1
n/a	OG0005811	2	2	1	1	1	1	1	2	2
n/a	OG0005812	1	1	1	1	1	1	1	1	7
n/a	OG0005813	2	1	0	1	4	4	1	1	1
n/a	OG0005814	4	1	1	1	1	2	1	1	3
n/a	OG0005815	1	1	1	2	2	2	2	2	1
n/a	OG0005816	6	1	1	1	1	1	1	1	1
n/a	OG0005817	2	1	2	2	1	1	2	2	1
n/a	OG0005818	1	2	2	2	1	1	1	2	1
n/a	OG0005819	2	1	2	2	1	2	1	1	2
n/a	OG0005820	2	1	1	3	1	1	2	2	1
n/a	OG0005821	2	1	2	1	2	2	1	1	3
n/a	OG0005822	1	1	1	2	1	1	2	2	1
n/a	OG0005823	1	1	1	2	2	2	1	2	2
n/a	OG0005824	3	2	1	1	0	2	1	1	3
n/a	OG0005825	1	0	2	1	2	2	2	2	2
n/a	OG0005826	1	1	1	1	1	1	1	1	6
n/a	OG0005827	1	1	2	1	2	2	1	1	4
n/a	OG0005828	1	0	2	2	2	2	2	2	2
n/a	OG0005829	2	2	2	0	2	2	1	1	1
n/a	OG0005830	1	2	1	2	1	1	1	2	1
n/a	OG0005831	2	1	1	1	3	2	1	1	3
n/a	OG0005832	2	2	2	1	1	1	1	1	2
n/a	OG0005833	5	1	1	1	3	1	1	1	1
n/a	OG0005834	1	1	1	2	1	1	2	2	1
n/a	OG0005835	2	0	2	1	1	2	2	2	2
n/a	OG0005836	1	1	3	2	2	2	0	2	2
n/a	OG0005837	2	0	2	2	1	1	2	2	1
n/a	OG0005838	1	2	1	2	1	1	2	1	1
n/a	OG0005839	1	1	1	1	1	1	2	2	2
n/a	OG0005840	3	2	1	1	1	3	1	1	1
n/a	OG0005841	6	1	1	1	1	1	1	1	2
n/a	OG0005842	6	1	1	1	1	1	1	1	2
n/a	OG0005843	2	1	1	1	3	2	1	1	3
n/a	OG0005844	1	1	3	1	1	2	1	2	2
n/a	OG0005845	1	3	2	1	1	1	1	1	1
n/a	OG0005846	2	2	1	1	1	1	1	0	5
n/a	OG0005847	2	1	1	0	1	1	2	2	2
n/a	OG0005848	4	1	1	1	1	2	1	1	4
n/a	OG0005849	3	1	1	1	1	1	1	0	6
n/a	OG0005850	3	1	1	1	2	2	1	1	3
n/a	OG0005851	1	2	1	1	2	2	1	1	3
n/a	OG0005852	1	1	1	1	1	1	2	2	1
n/a	OG0005853	2	2	2	1	0	1	1	2	1
n/a	OG0005854	4	2	1	1	1	2	1	0	1
n/a	OG0005855	4	2	1	1	0	1	1	2	2
n/a	OG0005856	1	1	2	1	2	2	1	2	1
n/a	OG0005857	1	1	1	1	1	1	2	2	1
n/a	OG0005858	2	1	1	1	2	1	1	2	2
n/a	OG0005859	5	1	1	2	1	1	1	1	2
n/a	OG0005860	1	2	2	1	2	2	1	0	2
n/a	OG0005861	2	1	3	1	1	1	2	2	1
n/a	OG0005862	1	2	4	1	1	1	1	1	2
n/a	OG0005863	2	1	2	1	2	2	1	1	3
n/a	OG0005864	19	0	0	0	0	0	0	0	0
n/a	OG0005865	2	1	2	1	1	2	1	1	3
n/a	OG0005866	2	1	1	2	1	1	2	1	2
n/a	OG0005867	1	1	1	1	1	1	1	1	7
n/a	OG0005868	1	1	2	2	1	1	2	1	2
n/a	OG0005869	1	2	1	2	1	1	2	1	2
n/a	OG0005870	1	1	1	2	1	1	2	2	2
n/a	OG0005871	2	2	2	1	0	2	1	1	2
n/a	OG0005872	1	2	2	1	2	2	1	0	3
n/a	OG0005873	2	2	2	1	1	1	1	1	2
n/a	OG0005874	1	2	1	1	0	1	2	2	2
n/a	OG0005875	1	2	1	1	1	1	1	1	4
n/a	OG0005876	2	2	1	1	2	2	1	1	1
n/a	OG0005877	1	2	1	1	1	1	1	1	3
n/a	OG0005878	4	1	1	1	1	2	1	1	3
n/a	OG0005879	1	2	2	1	2	2	1	1	2
n/a	OG0005880	1	2	2	2	1	1	1	1	2
n/a	OG0005881	1	1	1	2	1	1	2	2	1
n/a	OG0005882	2	2	2	1	2	2	1	1	1
n/a	OG0005883	1	2	1	2	1	2	1	1	2
n/a	OG0005884	1	2	2	1	2	2	1	1	3
n/a	OG0005885	2	2	0	0	7	2	0	1	1
n/a	OG0005886	2	1	1	2	1	1	2	2	1
n/a	OG0005887	2	2	1	1	2	1	1	1	3
n/a	OG0005888	1	2	1	2	0	1	2	2	1
n/a	OG0005889	2	1	2	1	1	2	1	1	3
n/a	OG0005890	1	1	2	2	1	2	1	1	2
n/a	OG0005891	2	2	2	1	1	1	1	0	4
n/a	OG0005892	2	1	1	2	1	2	2	2	1
n/a	OG0005893	4	1	1	0	3	1	1	1	3
n/a	OG0005894	1	1	1	1	2	2	1	1	5
n/a	OG0005895	2	2	2	1	2	2	1	1	1
n/a	OG0005896	2	1	1	1	1	2	1	2	2
n/a	OG0005897	3	1	1	1	1	2	1	1	4
n/a	OG0005898	1	2	4	1	2	1	1	1	1
n/a	OG0005899	1	1	2	2	2	1	2	1	1
n/a	OG0005900	2	2	2	1	1	1	1	1	2
n/a	OG0005901	1	1	1	2	1	1	2	2	1
n/a	OG0005902	1	1	3	1	2	3	1	1	2
n/a	OG0005903	4	2	2	1	0	2	1	0	2
n/a	OG0005904	3	1	1	1	1	1	2	2	1
n/a	OG0005905	1	2	1	1	2	1	2	1	1
n/a	OG0005906	1	3	1	1	1	1	1	1	1
n/a	OG0005907	2	1	1	1	1	1	2	2	2
n/a	OG0005908	5	2	1	1	2	1	0	1	1
n/a	OG0005909	1	2	1	1	1	1	2	2	1
n/a	OG0005910	1	1	1	3	2	1	1	2	0
n/a	OG0005911	2	1	1	2	1	2	2	0	2
n/a	OG0005912	2	1	0	1	1	2	2	2	1
n/a	OG0005913	1	1	2	2	0	2	1	2	3
n/a	OG0005914	2	1	2	2	1	1	1	2	2
n/a	OG0005915	2	2	1	1	1	1	1	2	1
n/a	OG0005916	1	1	1	2	1	1	2	2	2
n/a	OG0005917	1	1	2	2	2	1	2	2	1
n/a	OG0005918	1	1	1	2	0	1	2	2	2
n/a	OG0005919	1	1	1	1	1	1	2	2	1
n/a	OG0005920	1	1	1	1	1	2	1	1	6
n/a	OG0005921	2	1	1	3	1	1	1	2	1
n/a	OG0005922	1	1	1	3	1	1	1	4	1
n/a	OG0005923	2	1	1	1	1	1	2	2	1
n/a	OG0005924	2	2	2	1	1	2	1	1	2
n/a	OG0005925	2	2	2	1	2	1	1	1	2
n/a	OG0005926	3	1	2	1	2	2	1	1	3
n/a	OG0005927	3	1	2	1	3	1	1	1	2
n/a	OG0005928	1	2	1	2	1	1	1	2	2
n/a	OG0005929	1	1	1	1	0	3	1	1	5
n/a	OG0005930	1	2	2	1	1	2	1	1	2
n/a	OG0005931	2	1	2	1	2	3	1	1	2
n/a	OG0005932	1	2	3	1	1	1	1	1	2
n/a	OG0005933	1	2	2	1	1	1	1	1	2
n/a	OG0005934	2	2	1	1	1	2	1	1	2
n/a	OG0005935	3	1	2	1	1	1	1	1	5
n/a	OG0005936	2	1	1	2	1	1	1	2	2
n/a	OG0005937	1	1	1	1	1	1	2	1	5
n/a	OG0005938	1	1	2	2	1	2	2	2	1
n/a	OG0005939	4	2	1	0	0	1	1	2	1
n/a	OG0005940	2	1	1	1	1	2	1	1	5
n/a	OG0005941	1	1	1	2	1	1	2	2	1
n/a	OG0005942	2	2	2	1	1	1	1	1	2
n/a	OG0005943	1	1	2	2	1	1	1	2	2
n/a	OG0005944	1	2	1	2	1	2	1	1	2
n/a	OG0005945	1	1	1	2	2	1	2	2	1
n/a	OG0005946	1	1	1	1	1	1	1	1	6
n/a	OG0005947	1	1	1	1	1	1	1	1	7
n/a	OG0005948	1	1	2	1	1	1	1	1	7
n/a	OG0005949	1	2	1	0	1	1	2	2	1
n/a	OG0005950	1	2	1	2	1	1	1	2	1
n/a	OG0005951	1	1	3	0	1	1	2	2	2
n/a	OG0005952	1	0	4	1	2	2	1	2	2
n/a	OG0005953	1	2	2	2	1	1	1	2	1
n/a	OG0005954	1	1	1	1	2	2	1	2	2
n/a	OG0005955	3	1	2	1	2	2	1	1	3
n/a	OG0005956	1	1	1	1	1	1	2	2	1
n/a	OG0005957	1	2	3	1	0	1	1	2	1
n/a	OG0005958	1	2	1	2	2	2	1	2	1
n/a	OG0005959	1	1	2	2	1	2	2	1	1
n/a	OG0005960	1	1	1	1	2	3	1	1	4
n/a	OG0005961	1	1	1	1	1	1	2	2	1
n/a	OG0005962	1	1	2	1	1	1	2	2	2
n/a	OG0005963	2	1	2	1	1	1	2	2	2
n/a	OG0005964	1	1	3	2	0	2	1	2	2
n/a	OG0005965	1	1	1	1	0	1	1	1	8
n/a	OG0005966	1	0	2	2	2	2	2	2	2
n/a	OG0005967	1	1	1	2	1	1	2	2	1
n/a	OG0005968	1	0	2	2	1	2	2	2	3
n/a	OG0005969	1	1	2	1	2	1	2	2	1
n/a	OG0005970	1	0	1	0	4	2	3	0	1
n/a	OG0005971	1	2	2	1	4	2	1	0	2
n/a	OG0005972	1	1	1	2	1	1	2	2	2
n/a	OG0005973	1	1	2	1	5	3	1	0	2
n/a	OG0005974	2	1	1	2	0	1	1	2	5
n/a	OG0005975	2	1	1	1	2	1	1	1	5
n/a	OG0005976	1	1	1	3	0	1	2	2	1
n/a	OG0005977	1	2	1	1	1	3	1	1	2
n/a	OG0005978	1	2	2	1	2	2	1	1	2
n/a	OG0005979	1	2	2	1	1	2	1	1	3
n/a	OG0005980	1	1	1	1	1	1	2	2	3
n/a	OG0005981	1	1	1	1	2	1	1	1	5
n/a	OG0005982	1	1	2	1	1	1	1	1	6
n/a	OG0005983	2	1	3	2	1	1	1	2	2
n/a	OG0005984	1	2	2	1	3	1	1	1	1
n/a	OG0005985	1	1	1	1	2	1	2	2	1
n/a	OG0005986	1	1	1	1	1	1	1	1	7
n/a	OG0005987	1	1	1	1	1	1	1	1	7
n/a	OG0005988	1	1	1	2	2	2	1	2	2
n/a	OG0005989	4	1	1	1	1	2	1	1	2
n/a	OG0005990	1	2	2	2	0	2	2	0	2
n/a	OG0005991	1	2	1	1	2	1	1	2	1
n/a	OG0005992	1	1	1	2	1	1	2	2	1
n/a	OG0005993	1	1	1	1	1	1	2	0	6
n/a	OG0005994	2	1	1	1	1	1	2	2	1
n/a	OG0005995	2	1	1	2	1	1	2	2	2
n/a	OG0005996	2	2	1	1	1	2	1	1	2
n/a	OG0005997	1	1	1	2	1	1	2	2	1
n/a	OG0005998	1	2	1	2	1	1	1	2	1
n/a	OG0005999	1	1	1	1	1	1	1	2	6
n/a	OG0006000	2	2	1	1	2	2	1	0	3
n/a	OG0006001	1	1	1	1	1	1	2	2	1
n/a	OG0006002	2	1	2	2	2	1	1	2	2
n/a	OG0006003	1	1	2	1	2	2	1	1	3
n/a	OG0006004	1	2	1	2	2	1	1	1	2
n/a	OG0006005	1	1	1	2	1	1	2	2	2
n/a	OG0006006	1	1	1	2	1	2	2	2	1
n/a	OG0006007	1	1	1	5	1	1	1	1	3
n/a	OG0006008	2	2	2	1	2	2	1	1	1
n/a	OG0006009	1	1	1	1	2	2	1	2	3
n/a	OG0006010	3	1	1	1	2	2	1	1	3
n/a	OG0006011	1	2	1	1	1	3	1	1	2
n/a	OG0006012	2	1	1	4	1	1	1	1	2
n/a	OG0006013	2	1	1	1	0	1	1	1	7
n/a	OG0006014	1	1	1	1	1	1	1	1	7
n/a	OG0006015	1	2	1	1	1	3	1	1	2
n/a	OG0006016	1	3	1	1	0	2	1	0	1
n/a	OG0006017	1	1	2	1	2	1	2	1	2
n/a	OG0006018	1	1	1	1	1	1	2	2	2
n/a	OG0006019	1	1	1	1	0	1	1	1	9
n/a	OG0006020	1	1	2	2	1	1	2	2	1
n/a	OG0006021	2	1	1	1	1	1	3	1	1
n/a	OG0006022	1	0	3	1	1	1	1	2	5
n/a	OG0006023	1	1	2	2	0	1	2	2	3
n/a	OG0006024	1	1	1	2	1	0	2	2	2
n/a	OG0006025	1	1	2	2	1	1	1	2	2
n/a	OG0006026	2	1	1	0	1	1	2	2	2
n/a	OG0006027	1	2	1	2	1	1	2	1	1
n/a	OG0006028	1	1	2	1	2	1	2	2	1
n/a	OG0006029	1	1	1	1	1	1	1	1	7
n/a	OG0006030	1	2	1	0	2	1	2	2	1
n/a	OG0006031	2	1	0	1	2	3	2	2	1
n/a	OG0006032	1	2	2	1	3	1	1	1	1
n/a	OG0006033	1	1	2	1	2	2	1	1	4
n/a	OG0006034	1	1	1	1	1	1	2	2	1
n/a	OG0006035	1	1	1	1	1	1	1	0	8
n/a	OG0006036	1	1	2	2	2	2	2	1	1
n/a	OG0006037	1	1	2	1	2	1	2	2	1
n/a	OG0006038	1	1	1	2	1	1	2	2	1
n/a	OG0006039	1	0	2	0	0	1	3	2	0
n/a	OG0006040	1	0	3	0	0	4	3	0	0
n/a	OG0006041	0	1	1	1	1	3	2	2	2
n/a	OG0006042	0	2	0	3	2	0	2	2	0
n/a	OG0006043	0	2	0	0	0	0	2	3	0
n/a	OG0006044	0	1	2	2	2	2	1	2	2
n/a	OG0006045	0	1	2	1	2	1	2	2	2
n/a	OG0006046	0	1	1	2	1	1	2	2	1
n/a	OG0006047	0	1	2	2	2	1	2	1	2
n/a	OG0006048	0	2	2	1	0	0	2	2	0
n/a	OG0006049	0	4	0	2	0	0	2	1	0
n/a	OG0006050	0	3	1	0	1	4	1	0	0
n/a	OG0006051	0	1	2	1	1	1	1	1	7
n/a	OG0006052	0	6	0	1	0	0	0	0	0
n/a	OG0006053	0	3	2	8	0	0	1	0	0
n/a	OG0006054	0	1	2	2	1	2	2	1	1
n/a	OG0006055	0	1	2	2	1	2	2	2	2
n/a	OG0006056	0	1	1	2	2	3	2	2	0
n/a	OG0006057	0	3	2	4	0	0	2	0	0
n/a	OG0006058	0	1	3	1	1	1	1	1	5
n/a	OG0006059	0	1	0	3	1	0	2	2	2
n/a	OG0006060	0	1	1	0	1	2	3	2	0
n/a	OG0006061	0	5	1	0	0	0	1	1	0
n/a	OG0006062	0	2	1	2	1	1	2	2	1
n/a	OG0006063	0	0	4	1	11	1	0	0	0
n/a	OG0006064	0	4	1	1	3	0	1	0	0
n/a	OG0006065	0	2	2	1	1	2	1	1	2
n/a	OG0006066	0	4	0	4	0	0	1	0	0
n/a	OG0006067	0	1	4	1	3	2	1	1	1
n/a	OG0006068	0	1	1	2	1	1	2	2	2
n/a	OG0006069	0	1	1	2	1	2	2	2	2
n/a	OG0006070	0	2	2	1	2	2	1	1	3
n/a	OG0006071	0	1	1	1	2	1	2	2	2
n/a	OG0006072	0	5	0	2	0	0	1	0	0
n/a	OG0006073	0	2	2	2	2	1	2	1	0
n/a	OG0006074	0	3	0	2	0	1	2	2	1
n/a	OG0006075	0	3	5	4	0	0	0	0	0
n/a	OG0006076	0	3	1	2	0	2	2	0	0
n/a	OG0006077	0	2	2	1	3	2	1	1	2
n/a	OG0006078	0	1	2	1	2	2	1	2	2
n/a	OG0006079	0	2	3	0	0	0	2	2	0
n/a	OG0006080	0	1	0	4	12	0	0	0	1
n/a	OG0006081	0	1	1	2	3	1	2	2	1
n/a	OG0006082	0	2	2	1	2	2	1	1	3
n/a	OG0006083	0	1	1	2	3	1	2	2	1
n/a	OG0006084	0	0	1	2	2	1	3	2	0
n/a	OG0006085	0	1	1	3	1	1	2	2	0
n/a	OG0006086	0	2	0	0	1	0	3	2	0
n/a	OG0006087	0	3	0	2	2	1	1	0	1
n/a	OG0006088	0	2	2	1	0	0	3	1	0
n/a	OG0006089	0	3	1	2	0	1	1	2	0
n/a	OG0006090	0	1	2	1	1	1	2	2	0
n/a	OG0006091	0	1	1	2	1	1	2	2	2
n/a	OG0006092	0	2	0	0	0	0	3	3	1
n/a	OG0006093	0	2	0	0	2	1	2	2	1
n/a	OG0006094	0	1	1	3	1	1	2	2	2
n/a	OG0006095	0	2	2	1	2	3	1	1	1
n/a	OG0006096	0	2	1	0	2	5	1	0	4
n/a	OG0006097	0	2	2	2	1	1	2	2	0
n/a	OG0006098	0	1	1	1	2	1	2	2	1
n/a	OG0006099	0	1	1	2	9	1	1	0	0
n/a	OG0006100	0	1	1	1	1	2	1	1	7
n/a	OG0006101	0	1	1	0	0	1	3	2	0
n/a	OG0006102	0	3	2	2	2	2	1	1	0
n/a	OG0006103	0	3	2	1	0	1	1	1	1
n/a	OG0006104	0	1	1	2	0	1	2	2	1
n/a	OG0006105	0	1	7	1	1	1	1	1	2
n/a	OG0006106	0	2	1	1	0	0	2	3	0
n/a	OG0006107	0	1	2	3	2	2	1	2	1
n/a	OG0006108	0	4	0	1	1	0	1	0	1
n/a	OG0006109	0	2	4	0	3	2	1	1	0
n/a	OG0006110	0	1	0	3	0	0	4	2	0
n/a	OG0006111	0	1	1	1	2	2	1	1	6
n/a	OG0006112	0	1	0	3	1	0	2	4	0
n/a	OG0006113	0	3	1	2	1	1	2	0	1
n/a	OG0006114	0	1	1	2	0	0	3	2	0
n/a	OG0006115	0	3	1	1	0	2	1	2	1
n/a	OG0006116	0	1	2	1	2	2	1	1	4
n/a	OG0006117	0	1	2	1	2	3	1	1	4
n/a	OG0006118	0	1	1	1	2	2	2	2	3
n/a	OG0006119	0	1	1	2	1	1	2	2	1
n/a	OG0006120	0	2	1	1	4	2	1	1	2
n/a	OG0006121	0	2	2	2	0	2	2	2	1
n/a	OG0006122	0	3	1	1	1	1	1	1	2
n/a	OG0006123	0	0	0	2	0	0	3	4	0
n/a	OG0006124	0	1	1	2	1	2	2	2	1
n/a	OG0006125	0	2	4	2	0	0	2	0	1
n/a	OG0006126	0	2	2	0	2	1	2	0	1
n/a	OG0006127	0	1	2	1	2	3	1	1	4
n/a	OG0006128	0	1	1	1	0	3	2	2	0
n/a	OG0006129	0	1	1	0	1	1	3	2	1
n/a	OG0006130	0	0	2	0	0	0	5	2	0
n/a	OG0006131	0	0	3	1	6	1	3	0	0
n/a	OG0006132	0	1	0	3	2	3	2	1	1
n/a	OG0006133	0	0	2	1	2	2	2	2	2
n/a	OG0006134	0	0	5	2	1	4	1	1	3
n/a	OG0006135	0	0	1	2	1	1	3	2	1
n/a	OG0006136	0	0	2	2	2	2	2	2	2
n/a	OG0006137	0	0	1	0	10	4	0	0	4
n/a	OG0006138	0	0	0	1	0	0	4	3	0
n/a	OG0006139	0	0	0	3	0	0	0	8	0
n/a	OG0006140	0	0	0	2	0	0	3	4	0
n/a	OG0006141	0	0	0	2	0	0	5	1	0
n/a	OG0006142	0	0	0	0	0	14	0	0	6
n/a	OG0006143	0	0	0	0	0	0	2	4	6
n/a	OG0006146	2	0	3	3	3	3	0	0	4
n/a	OG0006147	0	3	1	5	0	0	1	2	0
n/a	OG0006148	1	1	1	2	0	1	2	2	1
n/a	OG0006149	2	1	1	3	1	2	1	1	2
n/a	OG0006150	1	1	0	2	0	2	1	2	2
n/a	OG0006151	3	1	2	1	2	2	1	1	2
n/a	OG0006152	2	1	1	1	1	1	1	1	5
n/a	OG0006153	1	1	1	1	1	2	2	2	0
n/a	OG0006154	1	1	1	1	2	3	1	1	3
n/a	OG0006155	3	0	1	1	1	1	1	3	1
n/a	OG0006156	6	1	1	1	0	1	1	1	2
n/a	OG0006157	6	1	1	1	1	1	1	1	2
n/a	OG0006158	5	1	1	1	0	1	1	1	1
n/a	OG0006159	5	1	2	2	1	1	1	0	1
n/a	OG0006160	1	1	2	2	1	1	2	2	1
n/a	OG0006161	2	1	2	1	1	2	1	1	2
n/a	OG0006162	2	1	1	1	3	2	1	0	4
n/a	OG0006163	2	1	1	1	1	1	1	1	5
n/a	OG0006164	2	0	0	1	0	0	0	7	2
n/a	OG0006165	2	1	2	1	1	1	2	2	2
n/a	OG0006166	1	1	2	2	1	1	1	2	2
n/a	OG0006167	3	1	1	2	2	2	1	0	1
n/a	OG0006168	1	2	2	1	2	2	0	0	4
n/a	OG0006169	1	1	2	1	1	3	1	1	3
n/a	OG0006170	1	0	2	1	1	2	2	2	1
n/a	OG0006171	6	1	1	1	1	2	1	2	0
n/a	OG0006172	1	2	1	1	2	1	1	1	2
n/a	OG0006173	1	1	3	2	0	1	2	2	0
n/a	OG0006174	1	1	1	1	0	1	1	1	7
n/a	OG0006175	1	1	2	1	2	2	1	1	3
n/a	OG0006176	1	1	2	1	1	2	1	1	4
n/a	OG0006177	3	2	1	1	1	1	1	1	2
n/a	OG0006178	2	1	1	1	1	2	1	1	4
n/a	OG0006179	1	1	1	1	1	1	2	1	3
n/a	OG0006180	1	2	2	1	0	2	1	1	3
n/a	OG0006181	2	1	2	1	2	2	1	0	3
n/a	OG0006182	7	1	1	1	1	1	1	1	0
n/a	OG0006183	1	2	1	0	0	4	1	0	4
n/a	OG0006184	2	1	1	1	2	2	1	1	3
n/a	OG0006185	3	1	2	1	1	2	1	1	3
n/a	OG0006186	1	1	1	2	1	1	2	2	1
n/a	OG0006187	1	2	2	2	1	0	1	2	0
n/a	OG0006188	1	1	1	1	1	1	1	1	6
n/a	OG0006189	1	1	2	0	1	2	1	1	3
n/a	OG0006190	1	1	1	2	1	1	2	2	1
n/a	OG0006191	5	1	1	1	1	2	1	1	1
n/a	OG0006192	2	1	1	1	1	3	1	2	1
n/a	OG0006193	2	1	1	1	2	2	1	1	3
n/a	OG0006194	2	1	1	1	1	1	1	2	2
n/a	OG0006195	2	1	4	1	1	1	1	1	2
n/a	OG0006196	1	2	1	1	0	1	1	2	2
n/a	OG0006197	1	1	2	1	1	1	2	2	1
n/a	OG0006198	3	1	1	1	1	2	1	1	2
n/a	OG0006199	1	1	1	1	1	1	1	2	4
n/a	OG0006200	1	1	1	2	1	1	2	1	1
n/a	OG0006201	1	1	1	1	2	1	1	2	2
n/a	OG0006202	1	2	1	2	1	1	2	1	1
n/a	OG0006203	2	1	1	1	2	2	1	1	3
n/a	OG0006204	2	1	1	1	1	1	1	1	5
n/a	OG0006205	5	1	1	1	1	1	1	1	2
n/a	OG0006206	5	0	0	2	1	1	2	2	1
n/a	OG0006207	2	1	1	3	2	1	1	1	2
n/a	OG0006208	3	2	1	1	0	1	1	1	3
n/a	OG0006209	3	1	2	1	1	2	1	1	3
n/a	OG0006210	2	1	1	1	1	1	1	2	3
n/a	OG0006211	4	1	1	0	1	2	1	1	3
n/a	OG0006212	5	1	1	1	1	1	1	1	2
n/a	OG0006213	1	2	1	1	1	1	2	1	1
n/a	OG0006214	2	1	2	1	1	2	1	1	4
n/a	OG0006215	1	1	1	0	1	2	2	1	2
n/a	OG0006216	18	0	0	0	0	0	0	0	0
n/a	OG0006217	3	1	2	1	1	2	1	2	2
n/a	OG0006218	1	2	1	1	1	1	2	2	1
n/a	OG0006219	2	1	1	1	1	4	1	2	1
n/a	OG0006220	1	1	1	2	1	1	2	1	2
n/a	OG0006221	3	2	2	1	1	2	0	0	4
n/a	OG0006222	2	1	2	1	2	1	1	1	3
n/a	OG0006223	1	1	1	2	0	1	1	1	6
n/a	OG0006224	5	1	1	2	1	1	1	1	1
n/a	OG0006225	3	1	1	1	1	1	1	2	1
n/a	OG0006226	1	1	1	2	2	2	1	2	2
n/a	OG0006227	1	2	2	1	1	2	1	1	2
n/a	OG0006228	2	1	1	1	1	3	1	1	1
n/a	OG0006229	2	1	2	0	3	2	1	1	2
n/a	OG0006230	3	1	1	1	1	2	1	1	3
n/a	OG0006231	2	1	1	1	1	2	1	0	4
n/a	OG0006232	2	1	1	1	1	1	2	1	2
n/a	OG0006233	1	1	1	2	1	1	2	2	1
n/a	OG0006234	4	0	2	1	2	2	1	1	3
n/a	OG0006235	4	1	1	1	2	2	1	1	1
n/a	OG0006236	2	1	1	1	1	1	2	2	1
n/a	OG0006237	1	1	1	1	3	2	1	1	3
n/a	OG0006238	1	1	1	1	1	1	1	1	6
n/a	OG0006239	5	1	1	1	1	1	1	1	1
n/a	OG0006240	3	1	1	1	1	1	1	1	4
n/a	OG0006241	2	2	4	1	1	1	1	0	1
n/a	OG0006242	2	2	1	1	0	2	1	1	1
n/a	OG0006243	3	1	2	1	1	2	1	1	2
n/a	OG0006244	2	1	2	1	1	2	1	1	3
n/a	OG0006246	1	1	1	1	1	1	2	2	1
n/a	OG0006247	1	1	0	0	1	1	2	3	1
n/a	OG0006248	1	1	1	1	1	5	1	1	2
n/a	OG0006249	2	2	1	1	1	2	1	1	1
n/a	OG0006250	5	1	1	1	1	1	1	1	2
n/a	OG0006251	2	1	1	2	1	1	2	2	1
n/a	OG0006252	1	1	1	1	1	2	2	2	1
n/a	OG0006253	2	1	2	1	1	2	1	1	3
n/a	OG0006254	1	1	2	1	2	2	1	1	3
n/a	OG0006255	1	2	2	1	0	1	2	1	1
n/a	OG0006256	2	1	1	1	1	1	2	2	1
n/a	OG0006257	2	0	2	2	2	1	1	2	3
n/a	OG0006258	1	1	2	2	1	1	1	2	1
n/a	OG0006259	2	1	1	2	2	1	1	2	2
n/a	OG0006260	2	1	1	1	1	1	1	1	5
n/a	OG0006261	2	1	1	1	1	1	1	1	5
