FamilyID	Arabidopsis_thaliana<1>	Zea_mays<2>	Sorghum_bicolor<3>	Oryza_sativa<4>	Brachypodium_distachyon<5>	Avena_sativa<6>	Hordeum_vulgare<7>	Triticum_aestivum<8>	Triticum_turgidum<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000531	-1	-1	1	-1	-1	0	0	0	1	0	3	0	0	0	1	1	0
OG0000532	1	5	0	0	0	0	0	0	-1	0	2	1	0	0	0	1	0
OG0000539	5	-1	0	-3	1	0	0	0	1	0	1	0	0	1	0	0	2
OG0000540	0	2	0	-3	0	-1	0	0	0	0	3	2	0	0	0	0	0
OG0000541	6	0	0	1	0	-3	1	0	0	0	1	-1	0	0	0	0	0
OG0000542	0	0	-2	0	-1	1	0	1	0	0	2	0	0	0	1	0	0
OG0000543	1	1	-1	-1	0	0	1	2	-1	0	1	0	0	0	0	3	0
OG0000544	4	0	1	1	-2	0	-4	0	2	0	0	0	0	0	0	0	4
OG0000545	10	-2	0	-1	-1	1	0	0	0	0	-1	0	0	0	3	0	0
OG0000546	1	-1	4	0	-1	0	0	0	0	0	1	0	0	0	0	1	0
OG0000547	-1	0	3	1	-2	0	0	1	0	0	2	1	0	0	0	1	0
OG0000548	3	2	0	0	-1	0	1	2	-2	0	1	1	0	0	0	2	0
OG0000549	-1	0	0	0	-1	-1	0	2	0	0	2	2	0	0	0	1	0
OG0000550	-1	-2	3	3	-1	0	0	0	2	0	2	0	0	0	0	2	2
OG0000551	0	-1	0	2	0	1	-5	0	1	0	2	0	0	0	0	0	2
OG0000552	-1	0	3	-1	0	0	0	0	0	0	3	3	0	0	0	1	0
OG0000559	-1	0	1	-3	0	-1	0	0	1	0	2	0	0	1	0	3	0
OG0000560	1	3	-1	0	-1	0	0	1	0	0	2	1	0	0	0	0	1
OG0000561	-1	1	0	1	0	0	0	2	-1	0	3	1	0	-1	0	0	0
OG0000562	0	0	4	-1	-1	0	0	0	1	0	0	0	0	0	2	4	1
OG0000563	-1	2	-2	-3	1	0	0	0	0	0	1	0	0	1	0	1	5
OG0000571	-1	0	0	2	-2	0	2	-1	0	0	2	-1	0	1	1	1	0
OG0000572	3	7	-2	-2	-2	1	8	0	0	0	1	0	0	0	1	0	-1
OG0000573	1	0	1	0	-1	-1	0	0	0	0	3	0	0	0	0	0	0
OG0000582	-1	2	0	-2	2	-4	0	8	-1	0	2	2	0	0	0	1	0
OG0000586	1	14	-1	0	1	0	0	0	0	0	1	2	0	0	0	0	0
OG0000587	-1	0	0	-1	-1	0	0	1	-2	0	2	0	0	1	1	1	0
OG0000588	1	0	2	1	-2	-1	0	0	0	0	1	0	0	0	0	2	2
OG0000589	-1	-2	4	0	0	-2	-5	1	0	0	2	0	0	0	0	0	3
OG0000590	-1	0	0	0	0	2	1	0	-2	0	3	-1	0	0	1	0	0
OG0000597	5	0	2	-1	0	-1	14	0	-3	0	0	0	0	0	0	4	0
OG0000598	1	1	0	0	1	-1	0	0	0	0	1	0	0	0	0	1	0
OG0000599	0	-1	0	0	0	-1	1	3	-3	0	1	-1	1	1	0	2	0
OG0000601	1	1	0	-1	-1	1	-1	2	0	0	1	0	0	0	0	1	1
OG0000602	1	0	0	-1	-1	0	0	0	0	0	1	0	0	0	1	0	0
OG0000603	2	0	0	0	-1	4	-2	2	0	0	0	-2	0	0	1	0	2
OG0000604	3	0	-1	-2	-1	4	0	1	0	0	0	0	0	0	3	0	1
OG0000605	-1	-2	0	2	-1	0	0	0	0	0	2	-1	1	0	0	1	2
OG0000606	-1	1	0	-1	-2	1	0	1	-1	0	2	2	0	0	0	0	0
OG0000611	1	0	0	-3	0	3	0	0	-3	0	1	1	0	0	0	0	0
OG0000612	-1	4	-1	-1	21	-3	2	-2	0	0	4	1	0	0	-1	0	-2
OG0000613	0	-1	0	1	-2	0	3	-1	1	0	2	-1	0	0	1	2	0
OG0000614	-1	3	0	0	-1	2	1	0	-1	0	2	0	0	0	0	0	0
OG0000618	0	-2	4	2	-1	1	0	0	-1	0	2	0	0	0	0	0	0
OG0000619	-1	-1	2	-1	-1	0	2	0	0	0	2	0	0	1	1	0	0
OG0000620	10	-1	6	-1	-1	-1	0	0	-1	0	0	1	0	0	0	1	0
OG0000621	5	-3	2	2	-1	-1	1	1	0	0	0	0	0	0	0	2	0
OG0000622	0	14	-2	0	0	0	0	-1	0	0	2	2	0	-1	0	0	0
OG0000623	0	0	-1	0	4	-2	0	1	0	0	1	0	0	3	0	0	0
OG0000624	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1
OG0000636	1	0	0	14	-3	0	30	-3	0	0	1	-3	0	0	0	1	-1
OG0000637	4	2	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	1
OG0000638	-1	0	0	-1	-1	1	1	0	0	0	1	0	0	0	3	0	0
OG0000639	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
OG0000640	-1	3	0	0	0	-1	0	0	-1	0	2	3	0	0	0	0	0
OG0000642	0	0	-1	2	-1	2	-2	1	0	0	2	0	0	0	0	0	2
OG0000643	-1	-1	1	0	-2	0	1	1	0	0	2	0	0	0	1	1	0
OG0000644	-1	0	4	-1	2	-2	-1	3	0	0	2	1	0	0	0	0	2
OG0000649	-1	0	1	0	0	-1	4	0	0	0	2	0	0	1	0	1	0
OG0000650	2	0	2	-1	0	0	0	0	0	0	1	0	0	0	0	2	0
OG0000651	0	9	-1	0	0	0	0	0	0	0	2	2	0	-1	0	0	0
OG0000652	-1	0	2	-2	0	-1	0	0	1	0	2	1	0	0	0	1	2
OG0000658	2	0	0	2	1	0	0	0	-2	0	2	1	0	0	-2	0	0
OG0000660	1	2	0	0	0	-1	1	0	-1	0	2	1	0	0	0	0	0
OG0000661	-1	0	0	0	0	0	0	0	-1	0	2	1	0	0	0	0	0
OG0000662	-1	-2	1	0	0	1	-5	1	0	0	2	0	0	0	0	0	1
OG0000663	1	1	-2	7	-2	-1	1	0	-1	0	2	0	0	0	0	0	0
